Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,PER,TS%,WS,WS/48,BPM,VORP,Player,Player-additional,Pos,PIS
37.0,65.0,26.8,3.3,6.4,0.511,1.7,4.0,0.419,1.6,2.5,0.658,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1.0,0.7,1.4,8.6,2024.0,15.0,0.65,6.2,0.172,3.6,2.5,Al Horford,horfoal01,Pivot,0.95
38.0,60.0,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,2025.0,12.9,0.563,4.4,0.129,1.2,1.3,Al Horford,horfoal01,Pivot,0.35
31.0,51.0,22.0,3.9,9.0,0.436,1.9,4.7,0.414,2.0,4.3,0.459,3.0,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,2023.0,16.5,0.602,2.5,0.109,1.2,0.9,Alec Burks,burksal01,Arrière,0.42
32.0,33.0,17.25,2.95,8.25,0.35050000000000003,1.7,4.65,0.351,1.25,3.6,0.34850000000000003,1.9,2.25,0.815,0.35,1.8,2.15,1.25,0.4,0.15,0.7,1.0,9.55,2024.0,10.8,0.5005,0.6499999999999999,0.0185,-4.1,-0.04999999999999999,Alec Burks,burksal01,Arrière,-0.42
33.0,49.0,17.6,2.3,5.5,0.424,1.8,4.2,0.425,0.6,1.3,0.422,0.8,1.0,0.776,0.3,2.2,2.5,1.1,0.6,0.1,0.6,0.8,7.3,2025.0,12.8,0.608,1.8,0.1,0.3,0.5,Alec Burks,burksal01,Arrière,0.02
21.0,34.0,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.6,1.0,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,2023.0,13.4,0.522,1.0,0.066,0.0,0.3,Aleksej Pokusevski,pokusal01,Ailier fort,-0.11
22.0,14.0,12.6,1.45,3.7,0.3395,0.55,1.75,0.273,0.9,1.95,0.4375,0.9,1.25,0.6285000000000001,0.5,2.2,2.7,1.1,0.45,0.39999999999999997,0.6,0.7,4.3,2024.0,8.5,0.44500000000000006,0.2,0.003500000000000003,-5.2,0.0,Aleksej Pokusevski,pokusal01,Ailier fort,-0.6
28.0,67.0,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2.0,0.556,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,2023.0,11.5,0.588,3.6,0.109,1.1,1.2,Alex Caruso,carusal01,Meneur,0.14
29.0,71.0,28.7,3.6,7.6,0.468,1.9,4.7,0.408,1.6,2.9,0.563,1.0,1.4,0.76,0.9,3.0,3.8,3.5,1.7,1.0,1.4,2.5,10.1,2024.0,14.5,0.613,4.9,0.115,2.5,2.3,Alex Caruso,carusal01,Arrière,0.72
30.0,54.0,19.3,2.6,5.8,0.446,1.1,3.1,0.353,1.5,2.7,0.556,0.8,0.9,0.824,0.7,2.2,2.9,2.5,1.6,0.6,0.7,1.9,7.1,2025.0,15.9,0.568,3.9,0.18,4.0,1.6,Alex Caruso,carusal01,Arrière,0.81
24.0,21.0,6.0,0.6,1.4,0.4,0.5,1.0,0.476,0.1,0.4,0.222,0.1,0.1,1.0,0.4,0.8,1.2,0.2,0.2,0.0,0.2,0.6,1.7,2025.0,10.1,0.583,0.3,0.125,-2.0,0.0,Alex Ducas,ducasal01,Arrière,-0.27
