Player,Team,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Player-additional,Team_code,experience_year
Eric Gordon,PHI 76ers,3303771,3468960,0,0,0,0,3303771,gordoer01,PHI,16.0
Cory Joseph,ORL Magic,3303771,3468960,0,0,0,0,3303771,josepco01,ORL,13.0
Russell Westbrook,DEN Nuggets,5631296,3468960,0,0,0,0,3303771,westbru01,DEN,16.0
Noah Clowney,BKN Nets,3244080,3398640,5414034,0,0,0,6642720,clownno01,BKN,1.0
Malaki Branham,SAS Spurs,3217920,4962033,0,0,0,0,8179953,branhma01,SAS,2.0
Yves Missi,NOP Pelicans,3193200,3353040,3512760,5595827,0,0,6546240,missiyv01,NOP,0.0
Dante Exum,DAL Mavericks,3150000,0,0,0,0,0,3150000,exumda01,DAL,7.0
Dariq Whitehead,BKN Nets,3114240,3262560,5366912,0,0,0,6376800,whiteda01,BKN,1.0
Nassir Little,PHX Suns,3107143,3107143,3107143,3107143,3107143,0,15535715,littlna01,PHX,6.0
Christian Braun,DEN Nuggets,3089640,4921797,0,0,0,0,8011437,braunch01,DEN,2.0
Johnny Juzang,UTA Jazz,3087519,2840518,2708000,2789215,0,0,3087519,juzanjo01,UTA,2.0
Daron Holmes,DEN Nuggets,3065640,3218760,3372120,5547138,0,0,6284400,holmeda01,DEN,
Josh Richardson,UTA Jazz,3051153,0,0,0,0,0,3051153,richajo01,UTA,9.0
Christian Wood,LAL Lakers,3036040,0,0,0,0,0,3036040,woodch01,LAL,9.0
Kyle Filipowski,UTA Jazz,3000000,3000000,3000000,3000000,0,0,6000000,filipky01,UTA,0.0
Julian Champagnie,SAS Spurs,3000000,3000000,3000000,0,0,0,3000000,champju02,SAS,2.0
Ajay Mitchell,OKC Thunder,3000000,3000000,0,0,0,0,3000000,mitchaj01,OKC,0.0
Kris Murray,POR Trail Blazers,2990040,3132000,5315004,0,0,0,6122040,murrakr01,POR,1.0
Walker Kessler,UTA Jazz,2965920,4878938,0,0,0,0,7844858,kesslwa01,UTA,2.0
Shake Milton,LAL Lakers,2875000,3000000,3287406,0,0,0,9162406,miltosh01,LAL,6.0
Olivier Maxence Prosper,DAL Mavericks,2870400,3007080,5259383,0,0,0,5877480,prospol01,DAL,1.0
David Roddy,ATL Hawks,2967212,0,0,0,0,0,2847240,roddyda01,ATL,2.0
Torrey Craig,CHI Bulls,3625162,0,0,0,0,0,2845342,craigto01,CHI,7.0
Kyshawn George,WAS Wizards,2825520,2966760,3108000,5435892,0,0,5792280,georgky01,WAS,0.0
Aj Johnson,WAS Wizards,2795294,3090480,3237120,5493394,0,0,5885774,johnsaj01,WAS,0.0
Marcus Sasser,DET Pistons,2755080,2886720,5198983,0,0,0,5641800,sassema01,DET,1.0
Dewayne Dedmon,DET Pistons,2748674,0,0,0,0,0,2748674,dedmode01,DET,11.0
Marjon Beauchamp,LAC Clippers,2733720,0,0,0,0,0,2733720,beaucma01,LAC,2.0
Trendon Watford,BKN Nets,2726603,0,0,0,0,0,2726603,watfotr01,BKN,3.0
Ben Sheppard,IND Pacers,2663880,2790720,5031669,0,0,0,5454600,sheppbe01,IND,1.0
Keita Bates Diop,MIN Timberwolves,2654644,0,0,0,0,0,2654644,bateske01,MIN,7.0
Blake Wesley,SAS Spurs,2624280,4726328,0,0,0,0,7350608,weslebl01,SAS,2.0
Dillon Jones,OKC Thunder,2622360,2753280,2884440,5200646,0,0,5375640,jonesdi01,OKC,0.0
Nick Smith Jr,CHA Hornets,2587200,2710680,4890067,0,0,0,5297880,smithni01,CHA,1.0
Brice Sensabaugh,UTA Jazz,2571480,2693760,4862237,0,0,0,5265240,sensabr01,UTA,1.0
Ty Jerome,CLE Cavaliers,2560975,0,0,0,0,0,2560975,jeromty01,CLE,5.0
Julian Strawther,DEN Nuggets,2552520,2674200,4826931,0,0,0,5226720,strawju01,DEN,1.0
Terrence Shannon Jr,MIN Timberwolves,2546640,2674080,2801640,5054159,0,0,5220720,shannte01,MIN,0.0
Wendell Moore Jr,DET Pistons,2537040,0,0,0,0,0,2537040,moorewe01,DET,2.0
Kobe Brown,LAC Clippers,2533920,2654880,4792059,0,0,0,5188800,brownko01,LAC,1.0
Ryan Dunn,PHX Suns,2530800,2657760,2784240,5025553,0,0,5188560,dunnry01,PHX,0.0
Isaiah Collier,UTA Jazz,2512680,2638200,2763960,4988948,0,0,5150880,colliis01,UTA,0.0
Baylor Scheierman,BOS Celtics,2494320,2619000,2744040,4952993,0,0,10191353,scheiba01,BOS,0.0
Paul Reed,DET Pistons,3913234,0,0,0,0,0,3913234,reedpa01,DET,4.0
Nikola Jovic,MIA Heat,2464200,4445417,0,0,0,0,6909617,jovicni01,MIA,2.0
Cam Reddish,LAL Lakers,2463946,0,0,0,0,0,2463946,reddica01,LAL,5.0
Jaxson Hayes,LAL Lakers,2463946,0,0,0,0,0,2463946,hayesja02,LAL,5.0
Patrick Baldwin Jr,SAS Spurs,2448840,0,0,0,0,0,2448840,baldwpa01,SAS,2.0
Daquan Jeffries,CHA Hornets,2425404,2743776,3080918,0,0,0,2425404,jeffrda01,CHA,5.0
Peyton Watson,DEN Nuggets,2413560,4356476,0,0,0,0,6770036,watsope01,DEN,2.0
Kevin Porter Jr,MIL Bucks,3366937,2546675,0,0,0,0,2366937,porteke02,MIL,4.0
Russell Westbrook,UTA Jazz,5631296,3468960,0,0,0,0,2327525,westbru01,UTA,16.0
Charlie Brown Jr,CHA Hornets,2237692,0,0,0,0,0,2237692,brownch02,CHA,5.0
Xavier Tillman Sr,BOS Celtics,2237691,2546675,0,0,0,0,4784366,tillmxa01,BOS,
Anthony Gill,WAS Wizards,2237691,2546675,0,0,0,0,2237691,gillan01,WAS,4.0
James Wiseman,TOR Raptors,2237691,0,0,0,0,0,2237691,wisemja01,TOR,3.0
Garrison Mathews,ATL Hawks,2230253,0,0,0,0,0,2230253,mathega01,ATL,5.0
Javale Mcgee,DAL Mavericks,2208856,2208856,2208856,2208856,0,0,8835424,mcgeeja01,DAL,17.0
Jeremiah Robinson Earl,NOP Pelicans,2196970,0,0,0,0,0,2196970,robinje02,NOP,3.0
Lindy Waters,DET Pistons,2196970,0,0,0,0,0,2196970,waterli01,DET,
Dalano Banton,POR Trail Blazers,2196970,0,0,0,0,0,2019706,bantoda01,POR,3.0
Sam Merrill,CLE Cavaliers,2164993,0,0,0,0,0,2164993,merrisa01,CLE,4.0
Duane Washington Jr,CHA Hornets,2162607,0,0,0,0,0,2162607,washidu02,CHA,3.0
Luka Garza,MIN Timberwolves,2162606,2349578,0,0,0,0,2162606,garzalu01,MIN,3.0
Keon Johnson,BKN Nets,2162606,2349578,0,0,0,0,2162606,johnske07,BKN,3.0
Neemias Queta,BOS Celtics,2162606,2349578,2667944,0,0,0,2162606,quetane01,BOS,3.0
Vit Krejci,ATL Hawks,2162606,2349578,2667944,3005085,0,0,2162606,krejcvi01,ATL,3.0
Vince Williams Jr,MEM Grizzlies,2120693,2301587,2489752,0,0,0,4422280,willivi01,MEM,2.0
Colby Jones,WAS Wizards,2120693,2221677,2406205,0,0,0,2120693,jonesco02,WAS,1.0
Keon Ellis,SAC Kings,2120693,2301587,0,0,0,0,2120693,elliske01,SAC,2.0
Aj Green,MIL Bucks,2120693,2301587,0,0,0,0,2120693,greenaj01,MIL,2.0
Sam Hauser,BOS Celtics,2092344,10044644,10848215,11651785,12455356,0,47092344,hausesa01,BOS,3.0
Jericho Sims,MIL Bucks,2092344,0,0,0,0,0,2092344,simsje01,MIL,3.0
Jay Huff,MEM Grizzlies,2088033,2349578,2667944,3005085,0,0,4437611,huffja01,MEM,3.0
Tyler Kolek,NYC Knicks,2087519,2191897,2296271,2486995,0,0,6575687,kolekty01,NYC,0.0
Scotty Pippen Jr,MEM Grizzlies,2087519,2270735,2461462,2789215,0,0,4358254,pippesc02,MEM,2.0
Reggie Jackson,WAS Wizards,4033748,0,0,0,0,0,2087519,jacksre01,WAS,13.0
Alex Len,WAS Wizards,2831348,0,0,0,0,0,2087519,lenal01,WAS,11.0
Mo Bamba,UTA Jazz,2207491,0,0,0,0,0,2087519,bambamo01,UTA,6.0
Garrett Temple,TOR Raptors,2087519,0,0,0,0,0,2087519,templga01,TOR,14.0
Charles Bassey,SAS Spurs,2087519,2500000,0,0,0,0,2087519,bassech01,SAS,3.0
Jordan Mclaughlin,SAS Spurs,2087519,0,0,0,0,0,2087519,mclaujo01,SAS,5.0
Sandro Mamukelashvili,SAS Spurs,2087519,0,0,0,0,0,2087519,mamuksa01,SAS,3.0
Doug Mcdermott,SAC Kings,2087519,0,0,0,0,0,2087519,mcderdo01,SAC,10.0
Tyus Jones,PHX Suns,2087519,0,0,0,0,0,2087519,jonesty01,PHX,9.0
Bol Bol,PHX Suns,2087519,0,0,0,0,0,2087519,bolbo01,PHX,5.0
Monte Morris,PHX Suns,2087519,0,0,0,0,0,2087519,morrimo01,PHX,7.0
Mason Plumlee,PHX Suns,2087519,0,0,0,0,0,2087519,plumlma01,PHX,11.0
Damion Lee,PHX Suns,2087519,0,0,0,0,0,2087519,leeda03,PHX,6.0
Guerschon Yabusele,PHI 76ers,2087519,0,0,0,0,0,2087519,yabusgu01,PHI,2.0
Kyle Lowry,PHI 76ers,2087519,0,0,0,0,0,2087519,lowryky01,PHI,18.0
Daniel Theis,OKC Thunder,2087519,0,0,0,0,0,2087519,theisda01,OKC,7.0
Cameron Payne,NYC Knicks,2087519,0,0,0,0,0,2087519,payneca01,NYC,9.0
Delon Wright,NYC Knicks,2087519,0,0,0,0,0,2087519,wrighde01,NYC,9.0
Joe Ingles,MIN Timberwolves,2087519,0,0,0,0,0,2087519,inglejo01,MIN,10.0
Gary Trent Jr,MIL Bucks,2087519,0,0,0,0,0,2087519,trentga02,MIL,6.0
Taurean Prince,MIL Bucks,2087519,0,0,0,0,0,2087519,princta02,MIL,8.0
Alec Burks,MIA Heat,2087519,0,0,0,0,0,2087519,burksal01,MIA,13.0
Markieff Morris,LAL Lakers,2087519,0,0,0,0,0,2087519,morrima02,LAL,13.0
Patty Mills,LAC Clippers,2087519,0,0,0,0,0,2087519,millspa02,LAC,15.0
James Johnson,IND Pacers,2087519,0,0,0,0,0,2087519,johnsja01,IND,15.0
Thomas Bryant,IND Pacers,2087519,0,0,0,0,0,2087519,bryanth01,IND,7.0
Deandre Jordan,DEN Nuggets,2087519,0,0,0,0,0,2087519,jordade01,DEN,16.0
Vlatko Cancar,DEN Nuggets,2087519,0,0,0,0,0,2087519,cancavl01,DEN,4.0
Spencer Dinwiddie,DAL Mavericks,2087519,0,0,0,0,0,2087519,dinwisp01,DAL,10.0
Tristan Thompson,CLE Cavaliers,2087519,0,0,0,0,0,2087519,thomptr01,CLE,13.0
Seth Curry,CHA Hornets,2087519,0,0,0,0,0,2087519,curryse01,CHA,10.0
Taj Gibson,CHA Hornets,2087519,0,0,0,0,0,2087519,gibsota01,CHA,15.0
Talen Horton Tucker,CHI Bulls,2087519,0,0,0,0,0,2087519,hortota01,CHI,5.0
Luke Kornet,BOS Celtics,2087519,0,0,0,0,0,2087519,kornelu01,BOS,7.0
Duop Reath,POR Trail Blazers,2048780,2221677,0,0,0,0,2048780,reathdu01,POR,1.0
Andrew Nembhard,IND Pacers,2019699,18102000,19550160,20998320,0,0,60670179,nembhan01,IND,2.0
Jaden Hardy,DAL Mavericks,2019699,6000000,6000000,6000000,0,0,14019699,hardyja02,DAL,2.0
Jabari Walker,POR Trail Blazers,2019699,0,0,0,0,0,2019699,walkeja01,POR,2.0
