player_id,nom,équipe,position,taille,poids,expérience (années),âge
1630183,Jaden McDaniels,Timberwolves,Forward,6-9,185,4,25
203926,Doug McDermott,Kings,Forward,6-6,225,10,33
1631121,Bryce McGowens,Trail Blazers,Guard,6-6,190,2,23
1629162,Jordan McLaughlin,Spurs,Guard,6-0,185,5,29
1629098,Jack McVeigh,Rockets,Guard-Forward,6-8,215,0,29
1629001,De'Anthony Melton,Nets,Guard,6-3,200,6,27
1630241,Sam Merrill,Cavaliers,Guard,6-4,205,4,29
203995,Vasilije Micić,Suns,Guard,6-3,188,1,31
203114,Khris Middleton,Wizards,Forward,6-7,222,12,34
1641706,Brandon Miller,Hornets,Forward,6-7,200,1,23
1641801,Emanuel Miller,Bulls,Forward,6-7,215,0,25
1641757,Jordan Miller,Clippers,Guard,6-5,194,1,25
1631159,Leonard Miller,Timberwolves,Forward,6-10,220,1,22
201988,Patty Mills,Clippers,Guard,6-2,180,15,37
1629003,Shake Milton,Lakers,Guard,6-5,205,6,29
1631303,Justin Minaya,Trail Blazers,Forward,6-5,205,2,26
1642434,Riley Minix,Spurs,Forward,6-7,230,0,25
1631169,Josh Minott,Timberwolves,Forward,6-8,205,2,23
1642274,Yves Missi,Pelicans,Center,6-11,235,0,21
1642349,Ajay Mitchell,Thunder,Guard,6-5,190,0,23
1630558,Davion Mitchell,Heat,Guard,6-0,202,3,27
1628378,Donovan Mitchell,Cavaliers,Guard,6-3,215,7,29
1630596,Evan Mobley,Cavaliers,Center,6-11,215,3,24
1642367,Jonathan Mogbo,Raptors,Forward,6-9,225,0,24
1628370,Malik Monk,Kings,Guard,6-3,200,7,27
1630541,Moses Moody,Warriors,Guard,6-5,211,3,23
1631111,Wendell Moore Jr.,Hornets,Guard,6-5,215,2,24
1629630,Ja Morant,Grizzlies,Guard,6-2,174,5,26
202693,Markieff Morris,Lakers,Forward,6-9,245,13,36
1628420,Monté Morris,Suns,Guard,6-2,183,7,30
1630530,Trey Murphy III,Pelicans,Forward,6-8,206,3,25
1627749,Dejounte Murray,Pelicans,Guard,6-4,180,7,29
1627750,Jamal Murray,Nuggets,Guard,6-4,215,7,28
1631099,Keegan Murray,Kings,Forward,6-8,225,2,25
1631200,Kris Murray,Trail Blazers,Forward,6-8,216,1,25
1629004,Svi Mykhailiuk,Jazz,Guard-Forward,6-7,205,6,28
1631250,Pete Nance,Bucks,Forward,6-10,225,1,25
1626204,Larry Nance Jr.,Hawks,Forward-Center,6-8,245,9,32
1629614,Andrew Nembhard,Pacers,Guard-Forward,6-4,191,2,25
1630174,Aaron Nesmith,Pacers,Guard-Forward,6-6,215,4,26
1641803,Tristen Newton,Timberwolves,Guard,6-5,190,0,24
1627777,Georges Niang,Hawks,Forward,6-7,230,8,32
1630192,Zeke Nnaji,Nuggets,Forward-Center,6-9,240,4,24
1641936,Miles Norris,Celtics,Forward,6-7,220,0,25
203994,Jusuf Nurkić,Hornets,Center,7-0,290,10,31
1626220,Royce O'Neale,Suns,Forward,6-6,226,7,32
1629643,Chuma Okeke,Cavaliers,Forward,6-7,229,4,27
1629006,Josh Okogie,Hornets,Guard,6-4,213,6,27
1630168,Onyeka Okongwu,Hawks,Forward-Center,6-10,240,4,25
1630171,Isaac Okoro,Cavaliers,Forward-Guard,6-5,225,4,24
203482,Kelly Olynyk,Pelicans,Forward-Center,6-11,240,11,34
1626162,Kelly Oubre Jr.,76ers,Forward-Guard,6-8,203,9,30
101108,Chris Paul,Spurs,Guard,6-0,175,19,40
1626166,Cameron Payne,Knicks,Guard,6-3,183,9,31
203901,Elfrid Payton,Pelicans,Guard,6-3,195,8,31
1627780,Gary Payton II,Warriors,Guard,6-2,195,8,33
1641809,Drew Peterson,Celtics,Forward,6-9,205,1,26
1641763,Julian Phillips,Bulls,Forward,6-8,198,1,22
1629618,Jalen Pickett,Nuggets,Guard,6-2,202,1,26
1630590,Scotty Pippen Jr.,Grizzlies,Guard,6-1,170,2,25
1631342,Daeqwon Plowden,Hawks,Guard-Forward,6-6,216,0,27
203486,Mason Plumlee,Suns,Forward-Center,6-10,254,11,35
1641764,Brandin Podziemski,Warriors,Guard,6-4,205,1,22
1627751,Jakob Poeltl,Raptors,Center,7-0,260,8,30
1629673,Jordan Poole,Wizards,Guard,6-4,194,5,26
1641854,Craig Porter Jr.,Cavaliers,Guard,6-1,180,1,25
1629645,Kevin Porter Jr.,Bucks,Guard-Forward,6-4,203,4,25
1629008,Michael Porter Jr.,Nuggets,Forward,6-10,218,5,27
